case,TEAD_500
C3L-00977,0.0016073940124573492
C3L-00987,-0.01014248878172935
C3L-00994,0.0270075681468087
C3L-00995,0.0054835576987475
C3L-00997,-0.0104355033152502
C3L-00999,-0.052826334471904046
C3L-01138,0.0024320206282231003
C3L-01237,-0.0004604514098185009
C3L-02617,0.0663217467014936
C3L-02621,-0.0064798071127185
C3L-02651,0.0307497823320607
C3L-03378,-0.0040812738597549
C3L-04025,-0.0308669881454691
C3L-04354,-0.0114945415578326
C3L-04791,-0.0250318130064966
C3L-04844,0.0162748643761301
C3L-04849,-0.012084756546781851
C3N-00204,-0.01250334873752595
C3N-00295,-0.02124773960217
C3N-00297,-0.0394899872747975
C3N-00299,0.0233239568682607
C3N-00306,-0.0169780992565803
C3N-00307,-0.0002511553144464
C3N-00498,-0.0143828276739668
C3N-00519,-0.0208458910990556
C3N-00822,-0.021415176478467697
C3N-00825,0.004713348067778449
C3N-00828,-0.0264885138302859
C3N-00829,-0.0059691246400107
C3N-00846,-0.0304818833299846
C3N-00857,0.0017078561382358
C3N-00871,-0.009326234009778249
C3N-01337,0.0015655347933829001
C3N-01338,0.028606590315451
C3N-01339,0.0079365079365079
C3N-01340,0.0054751858549326
C3N-01620,-0.01342843747907045
C3N-01643,-0.035479874087469
C3N-01645,0.0765019087803897
C3N-01752,0.0370454088808517
C3N-01754,0.0315199919630299
C3N-01755,-0.0173673899939722
C3N-01756,0.0321646239367757
C3N-01757,0.009694595137633
C3N-01758,-0.0185520058937781
C3N-01858,0.02051101734646035
C3N-01859,-0.026555488580805052
C3N-01943,-0.0050063626012992
C3N-01944,-0.00788627687361865
C3N-01945,0.0066388721452012
C3N-01946,-0.0018083182640143
C3N-01947,-0.0285061281896725
C3N-01948,-0.044831223628692046
C3N-02275,0.0142907373920032
C3N-02279,0.01483490723997045
C3N-02333,0.0007116067242649999
C3N-02693,-0.02996701493536935
C3N-02694,-0.0066807313642756995
C3N-02695,-0.0403104279686558
C3N-02700,-0.0018459915611815005
C3N-02713,0.0547141852521599
C3N-02714,0.0428470966445649
C3N-02716,-0.027166633179291348
C3N-02727,0.00404360056258795
C3N-02730,-0.029602839729422
C3N-02925,-0.0055589042930815
C3N-03008,-0.0098201727948563
C3N-03009,0.0176813341370303
C3N-03011,0.0251322751322752
C3N-03012,-0.029925155716294952
C3N-03013,-0.0280582345455763
C3N-03015,0.0170199584756546
C3N-03027,-0.0065635255508674
C3N-03028,0.02334070055589035
C3N-03042,-0.02936005625879035
C3N-03045,0.06545107494474575
C3N-03226,-0.0348017547384635
C3N-03433,-0.003771515638604202
C3N-03456,-0.0012641484160471495
C3N-03457,0.0278949835911861
C3N-03458,0.0043952180028129
C3N-03487,-0.04204758556024375
C3N-03488,-0.0132651865246802
C3N-03490,-0.01979103877838055
C3N-03612,-0.02069519791038775
C3N-03619,-0.0028213113656150503
C3N-03620,-0.062407909718036295
C3N-03664,-0.002360859955796701
C3N-03781,0.019899872747974
C3N-03782,-0.0162581206885004
C3N-03783,-0.0010925256178421
C3N-03785,0.03593613957538
C3N-03837,-0.0110173464603844
C3N-03841,-0.0112852454624606
C3N-03849,0.0300381756077959
C3N-03876,0.0722490121224297
C3N-03878,0.0016408813877168
C3N-03888,-0.019862199450806948
C3N-03889,-0.05147428169580065
C3N-03928,-0.0063458576116804
C3N-03933,-0.0186357243319269
C3N-04152,-0.0037338423414372
C3N-04273,0.037957939856674
C3N-04275,-0.0613153841001942
C3N-04276,0.0050565936641886
C3N-04277,-0.0114066371977765
C3N-04278,0.005127754336615099
C3N-04279,0.0171957671957672
C3N-04280,-0.0514240506329114
C3N-04611,0.023723014756770005
